Name,Exp_a,Exp_b,Exp_c,Exp_alpha,Exp_beta,Exp_gamma,Exp_Vol,DFT_a,DFT_b,DFT_c,DFT_alpha,DFT_beta,DFT_gamma,DFT_Vol,128_2_6_a,128_2_6_b,128_2_6_c,128_2_6_alpha,128_2_6_beta,128_2_6_gamma,128_2_6_Vol,64_3_6_a,64_3_6_b,64_3_6_c,64_3_6_alpha,64_3_6_beta,64_3_6_gamma,64_3_6_Vol,Error_DFT_vs_Exp(%),Error_128_2_6_vs_DFT(%),Error_64_3_6_vs_DFT(%),Error_128_2_6_vs_Exp(%),Error_64_3_6_vs_Exp(%)
ABEFIX,30.9836,4.92001,9.9812,90.0,90.0,90.0,1521.530353469484,30.79208749830899,4.852517022898812,9.903459111389203,90.0,90.0,90.0,1479.7662320957725,30.611025837603467,4.82595762675612,9.813436860798959,89.99999796835439,90.00000141736808,89.99769607306638,1449.7146261817725,30.765247561284806,4.826863296102433,9.837845339712356,89.99999761971434,90.00000081251005,90.01254161535624,1460.916498125541,-2.7448759913647796,-2.0308346860597246,-1.2738318770482306,-4.719966783702542,-3.9837427630495617
ABOVAS,7.42533,8.72603,13.70355,93.24019999999999,96.8762,101.0322,862.3465696834905,7.364823498302239,8.656635482817949,13.566811216776054,93.61075190322197,96.54285430482544,101.24667776281,839.583243276123,7.333767381043453,8.65027844085853,13.615803745499464,93.44263807768573,96.81963443159411,100.86226629118971,839.282191346123,7.315249429178412,8.667378577947154,13.787278573190482,93.77694913894811,96.44916267776996,101.1540363407747,848.7818358731727,-2.639695826206215,-0.035857305682429064,1.0956141241166308,-2.674606608087155,-1.573002582395217
ABOVEW,15.341915,4.92156,29.410299999999996,90.0,97.7467,90.0,2200.3921955800924,15.211537367848704,4.8887007032838845,29.142101766503867,90.0,97.35743823866267,90.0,2149.299269875371,15.183566922523184,4.897418691966253,28.976275252538848,89.99999924811625,96.84937239684825,90.00000044076839,2139.306325948819,15.252442842105015,4.909161884374097,29.17333953947286,89.99999960098737,96.86686790897984,89.99999944628625,2168.7342154215753,-2.3219917707103,-0.4649396231885132,0.9042456682791895,-2.7761355341096046,-1.4387426124355576
ABUHIO,3.84064,10.974814000000002,11.152311,59.6659,84.5869,86.8751,403.8957881059866,3.766051464371819,10.768254409647438,11.047347535194762,59.004993500484225,85.61660388281062,86.67882538222491,382.8275075435606,3.789066883489573,10.977644762527303,11.105193639195177,59.29569398927696,84.96131412124494,87.0186615950407,395.61733837283504,3.783627569967062,10.900783178145774,11.22145781310218,58.82851548089266,85.87906776770858,88.120636256023,394.97284392038335,-5.21626646844295,3.3408860589306295,3.1725349243459906,-2.049649928753204,-2.209219419555262
ACACEO,18.65701,8.66575,10.92935,90.0,102.5734,90.0,1724.6474503949048,18.608374024433665,8.510642034216698,10.84293183361465,90.0,102.17702180752262,90.0,1678.5508256497521,18.7278566542858,8.510553123780781,10.758164868972957,90.00000051836574,102.80452789686,89.99999938342744,1672.042829287618,18.758304173288607,8.52967369235375,10.757250663527126,89.99999881255744,102.60900697752514,90.00000112024463,1679.6731922439958,-2.672814361833637,-0.3877151804214834,0.06686521355760557,-3.050166635229806,-2.60773633130707
ACESEJ,7.4643,19.8499,11.910500000000003,90.0,93.32790000000001,90.0,1761.750565485603,7.2213887728950255,19.81470614664621,11.825054450267176,90.0,94.34525306599873,90.0,1687.179848136001,7.332343709088519,19.612331364746098,11.737977666746325,90.00000158016758,93.52197362529235,90.00000018045293,1684.7842487830446,7.325291434152748,19.59329032063337,11.742266010787375,89.99999995203585,93.54235195485327,90.00000035275563,1682.1070815092262,-4.232762503984066,-0.14198838112031067,-0.3006654348307482,-4.368740854148303,-4.5207014850268585
ACESIN,7.21341,11.153014000000002,11.499315,86.4993,75.2773,88.48129999999999,893.0322050959911,6.992931514390396,11.054996114361732,11.381588619535352,86.85655225948265,76.46278696479776,88.98259894739402,854.1318810745531,7.0985292830225974,11.019009838997588,11.225856845831947,87.1662962026325,75.10464490634412,88.36522212370949,847.4152501505822,7.073195418162345,11.026540006158376,11.235191598378576,87.1447612935578,75.09016086203214,88.53495303462101,845.6377027938612,-4.35598221424239,-0.7863693034758232,-0.9944808839128803,-5.108097410720545,-5.307143687727985
AFIGED,6.18792,19.92747,6.98462,90.0,91.19900999999999,90.0,861.0820502884136,6.0907351573033965,19.403601089381894,6.768141988153849,90.0,92.4615237644716,90.0,799.1358255383493,6.118917288584602,19.34407741375705,6.782098688448115,89.99999406131514,91.2814846666224,90.00000394961012,802.5610408802321,6.095204933293173,19.665474521426493,6.7653801433424245,89.9999973548309,91.80992330396988,90.00000062246906,810.5283790550833,-7.193997915682463,0.42861491531497103,1.425609158375452,-6.796217548441555,-5.870947050446318
AFUHAN,11.53592,30.28154,7.570009999999999,90.0,102.3662,90.0,2583.0437235283503,11.505877887879679,30.368304889973025,7.414368733000315,90.0,101.68179000297404,90.0,2537.02399898466,11.397530120372037,30.137215864847512,7.412896664418953,90.000000765128,103.1063291335438,89.99999789444595,2479.927004271354,11.404057002300085,30.446965337618476,7.459118108923957,90.00000059634793,102.61644627340362,90.00000085797576,2527.410408728893,-1.7816084228271931,-2.250550043521739,-0.3789317822619954,-3.992062477213608,-2.1537891245396397
AFUHEQ,11.959913,5.61426,18.161819,90.0,105.05301,90.0,1177.648814948587,11.941056997677169,5.528749598215148,17.684623312387213,90.0,106.14753241160417,90.0,1121.4629321760178,11.767151511908676,5.488005646028064,17.723952291289002,90.00000137812614,105.22137114843818,89.99999933018823,1104.4273666501342,11.789779116727374,5.511599478797495,17.74609294541318,90.0000011433909,105.14727987722385,89.99999999353264,1113.0871832243313,-4.771021892041904,-1.5190484711633623,-0.7468591882421612,-6.217596228095334,-5.482248264910305
AGEZAO,9.530811,18.1822,14.075416,90.0,93.7032,90.0,2434.051584109978,9.726097773611524,17.320567651114736,14.18929306472572,90.0,95.02147961916285,90.0,2381.175809778028,9.221680673141487,17.606229266480494,14.301793268023166,89.99995502900897,100.76636374801473,89.99987744069988,2281.1507891167553,9.235328862412599,17.825938538128103,14.058425477684748,90.00000927484284,97.20022942576139,89.99999090138316,2296.1651344806914,-2.1723358156061616,-4.200656677702307,-3.5701133426708713,-6.28174012380809,-5.66489430747646
