Name,Exp_a,Exp_b,Exp_c,Exp_alpha,Exp_beta,Exp_gamma,Exp_Vol,Exp_Density,DFT_a,DFT_b,DFT_c,DFT_alpha,DFT_beta,DFT_gamma,DFT_Vol,DFT_Density,128_2_6_a,128_2_6_b,128_2_6_c,128_2_6_alpha,128_2_6_beta,128_2_6_gamma,128_2_6_Vol,128_2_6_Density,64_3_6_a,64_3_6_b,64_3_6_c,64_3_6_alpha,64_3_6_beta,64_3_6_gamma,64_3_6_Vol,64_3_6_Density,AtomBit_a,AtomBit_b,AtomBit_c,AtomBit_alpha,AtomBit_beta,AtomBit_gamma,AtomBit_Vol,AtomBit_Density,MACE-OMC_a,MACE-OMC_b,MACE-OMC_c,MACE-OMC_alpha,MACE-OMC_beta,MACE-OMC_gamma,MACE-OMC_Vol,MACE-OMC_Density,Err_DFT_vs_Exp_a,Err_DFT_vs_Exp_b,Err_DFT_vs_Exp_c,Err_DFT_vs_Exp_alpha,Err_DFT_vs_Exp_beta,Err_DFT_vs_Exp_gamma,Err_DFT_vs_Exp_Vol,Err_DFT_vs_Exp_Density,Err_128_2_6_vs_DFT_a,Err_128_2_6_vs_DFT_b,Err_128_2_6_vs_DFT_c,Err_128_2_6_vs_DFT_alpha,Err_128_2_6_vs_DFT_beta,Err_128_2_6_vs_DFT_gamma,Err_128_2_6_vs_DFT_Vol,Err_128_2_6_vs_DFT_Density,Err_64_3_6_vs_DFT_a,Err_64_3_6_vs_DFT_b,Err_64_3_6_vs_DFT_c,Err_64_3_6_vs_DFT_alpha,Err_64_3_6_vs_DFT_beta,Err_64_3_6_vs_DFT_gamma,Err_64_3_6_vs_DFT_Vol,Err_64_3_6_vs_DFT_Density,Err_AtomBit_vs_DFT_a,Err_AtomBit_vs_DFT_b,Err_AtomBit_vs_DFT_c,Err_AtomBit_vs_DFT_alpha,Err_AtomBit_vs_DFT_beta,Err_AtomBit_vs_DFT_gamma,Err_AtomBit_vs_DFT_Vol,Err_AtomBit_vs_DFT_Density,Err_MACE-OMC_vs_DFT_a,Err_MACE-OMC_vs_DFT_b,Err_MACE-OMC_vs_DFT_c,Err_MACE-OMC_vs_DFT_alpha,Err_MACE-OMC_vs_DFT_beta,Err_MACE-OMC_vs_DFT_gamma,Err_MACE-OMC_vs_DFT_Vol,Err_MACE-OMC_vs_DFT_Density
ABEFIX,30.9836,4.92001,9.9812,90.0,90.0,90.0,1521.530353469484,1.4961775169098634,30.79208749830899,4.852517022898812,9.903459111389203,90.0,90.0,90.0,1479.7662320957725,1.5384048215053625,30.611025837603467,4.82595762675612,9.813436860798959,89.99999796835439,90.00000141736808,89.99769607306638,1449.7146261817725,1.5702949153190946,30.765247561284806,4.826863296102433,9.837845339712356,89.99999761971434,90.00000081251005,90.01254161535624,1460.916498125541,1.5582543622978065,30.65689311169427,4.839716544058529,9.872065350498588,89.99999475253351,90.00002291435545,89.99998499897355,1464.724977802168,1.554202693786813,30.800257381170606,4.836224621473196,9.860613218012116,90.00000038878868,90.00000140834437,89.99999863619782,1468.8069992048534,1.549883345728434,-0.6181092632586536,-1.371805689443478,-0.7788731676631666,0.0,0.0,0.0,-2.7448759913647796,2.8223458859823936,-0.5880135951012322,-0.5473323641598791,-0.9089980538892435,-2.257384008114766e-06,1.5748534249521779e-06,-0.0025599188151343493,-2.0308346860597246,2.072932518667417,-0.08716504532425468,-0.5286684554700349,-0.6625338776972416,-2.644761849524002e-06,9.02788946809273e-07,0.013935128173601343,-1.2738318770482306,1.2902677185463274,-0.4390556068085524,-0.2637904984130598,-0.31699793514078645,-5.830518321974725e-06,2.5460394949858608e-05,-1.666780717199698e-05,-1.016461517188543,1.0268995559954046,0.026532409866866377,-0.33575155633114023,-0.4326356366515807,4.3198741966282086e-07,1.5648270827265758e-06,-1.5153357600815475e-06,-0.7406056884672724,0.7461315814025797
ABOVAS,7.42533,8.72603,13.70355,93.24019999999999,96.8762,101.0322,862.3465696834905,1.8955553050715783,7.364823498302239,8.656635482817949,13.566811216776054,93.61075190322197,96.54285430482544,101.24667776281,839.583243276123,1.94694883213173,7.333767381043453,8.65027844085853,13.615803745499464,93.44263807768573,96.81963443159411,100.86226629118971,839.282191346123,1.9476472059439809,7.315249429178412,8.667378577947154,13.787278573190482,93.77694913894811,96.44916267776996,101.1540363407747,848.7818358731727,1.925848958928556,7.365609207005481,8.642857890882857,13.591492555609326,93.47714133477484,97.08346277694717,101.50343924864796,838.1430239995124,1.9502943628565823,7.360664373005952,8.665037340436976,13.595113757089969,93.35553187331205,96.91956117694598,101.00085604734798,842.0070386445802,1.941344359312191,-0.8148661634938896,-0.7952587509102182,-0.9978347451860686,0.39741646116372525,-0.3440945197835562,0.21228654113242276,-2.639695826206215,2.7112649745775204,-0.42168175878139313,-0.07343548162604599,0.36112044267873594,-0.17958815853764354,0.286691468531438,-0.3796781090643201,-0.035857305682429064,0.035870167758139865,-0.6731195816879426,0.12410243160323561,1.6250491946243697,0.17754075503844388,-0.09704667189521304,-0.09150070311672852,1.0956141241166308,-1.0837405100200692,0.010668398277616202,-0.15915642933606877,0.18192439209850655,-0.1427299383144109,0.5599673595881158,0.2535999121269772,-0.17153978335617456,0.17183454796750722,-0.05647284415227978,0.09705684888434786,0.20861601051039178,-0.2726396538014955,0.3901965348270292,-0.24279484610635768,0.28869029817691616,-0.28785927637361874
ABOVEW,15.341915,4.92156,29.410299999999996,90.0,97.7467,90.0,2200.3921955800924,2.1089239532445907,15.211537367848704,4.8887007032838845,29.142101766503867,90.0,97.35743823866267,90.0,2149.299269875371,2.159057080990119,15.183566922523184,4.897418691966253,28.976275252538848,89.99999924811625,96.84937239684825,90.00000044076839,2139.306325948819,2.169142282946875,15.252442842105015,4.909161884374097,29.17333953947286,89.99999960098737,96.86686790897984,89.99999944628625,2168.7342154215753,2.139708856342853,15.205581897740153,4.908958659545384,29.101684213918197,89.99998981228975,97.04552392240197,90.00004794327087,2155.8510178027755,2.152495589663162,15.250181218317135,4.916094872173914,29.134259000692055,89.99999955693826,97.17396137748281,90.0000000648017,2167.1352172083816,2.141287618300519,-0.8498132870068432,-0.6676601873413281,-0.911919407473331,0.0,-0.398235194985956,0.0,-2.3219917707103,2.3771899251463315,-0.18387651852099426,0.1783293601204221,-0.5690272969797296,-8.354263848610167e-07,-0.5218562145903408,4.89742654331672e-07,-0.4649396231885132,0.46711140921440436,0.26891084883221206,0.41854026932898225,0.10719121503068006,-4.433473716542519e-07,-0.5038858237829119,-6.152374965040508e-07,0.9042456682791895,-0.8961423399882124,-0.03915100732118575,0.41438323781800385,-0.13869127528792582,-1.1319678050212031e-05,-0.3203805707131166,5.3270300968380165e-05,0.3048318128254125,-0.30390541244735925,0.25404303019436064,0.5603568422920172,-0.026912148871934976,-4.922908184804934e-07,-0.18845695254437447,7.200188494809683e-08,0.8298494110615336,-0.8230195878587433
ABUHIO,3.84064,10.974814000000002,11.152311,59.6659,84.5869,86.8751,403.8957881059866,1.6000708564100543,3.766051464371819,10.768254409647438,11.047347535194762,59.004993500484225,85.61660388281062,86.67882538222491,382.8275075435606,1.6881281173391756,3.789066883489573,10.977644762527303,11.105193639195177,59.29569398927696,84.96131412124494,87.0186615950407,395.61733837283504,1.6335529737731413,3.783627569967062,10.900783178145774,11.22145781310218,58.82851548089266,85.87906776770858,88.120636256023,394.97284392038335,1.6362185135579348,3.784456437394313,10.773523024718452,10.957041403112695,59.25261908652813,85.45427829816339,87.39489487927723,382.727343598602,1.6885699189889822,3.7681321051280543,10.85097796988244,11.06107073660219,59.4327508431357,85.27954677292648,87.21699286404966,388.0815970061055,1.6652731914133836,-1.9420861009670585,-1.8821238369284767,-0.9411812924266331,-1.1076787570719206,1.2173325690037375,-0.22592735752256826,-5.21626646844295,5.503335091465137,0.6111286405798835,1.9445152845968139,0.5236198446380749,0.49267099536304754,-0.7653769617662289,0.392063703352252,3.3408860589306295,-3.232879246869927,0.4666984973922804,1.2307358598400253,1.576036938755988,-0.29908997378351565,0.3065572248780235,1.6633945689044374,3.1725349243459906,-3.0749801065490567,0.4887074219938724,0.04892729007492149,-0.8174462855845523,0.41966886419853666,-0.18959591631247247,0.8261181365745178,-0.026164249690767187,0.02617109716192864,0.05524727359461453,0.7682169930986019,0.12422168637049476,0.7249510885006105,-0.3936819432192099,0.6208753746391957,1.372443034790812,-1.353862049393257
ACACEO,18.65701,8.66575,10.92935,90.0,102.5734,90.0,1724.6474503949048,1.683938132716235,18.608374024433665,8.510642034216698,10.84293183361465,90.0,102.17702180752262,90.0,1678.5508256497521,1.7301827045288438,18.7278566542858,8.510553123780781,10.758164868972957,90.00000051836574,102.80452789686,89.99999938342744,1672.042829287618,1.7369169953912966,18.758304173288607,8.52967369235375,10.757250663527126,89.99999881255744,102.60900697752514,90.00000112024463,1679.6731922439958,1.7290265872088386,18.715122719684217,8.481639934626143,10.721169111886683,89.99985717943662,103.33641595276518,90.00007508495382,1655.9300470399291,1.7538178091539778,18.64237595323127,8.56607888054741,10.795479072612496,89.99999965852575,102.71433788847598,89.99999985928496,1681.6801476945768,1.7269631274372792,-0.26068472690068967,-1.789896613487597,-0.7906981328747826,0.0,-0.3864337074498705,0.0,-2.672814361833637,2.7462156069840344,0.6420906506675438,-0.0010446971633783194,-0.7817716272909055,5.759619309881398e-07,0.6141362101152711,-6.850806263021999e-07,-0.3877151804214834,0.3892242619710305,0.8057133237867895,0.22362188493578283,-0.7902029764855644,-1.319380626480577e-06,0.4227811325488403,1.2447162589523941e-06,0.06686521355760557,-0.06682053386494984,0.5736594455291248,-0.34077452058202984,-1.1229686176803648,-0.00015868951486987094,1.1346916603486281,8.34277264674357e-05,-1.3476373943616922,1.366046751205398,0.18272380355724788,0.6513826584155555,-0.4376377323985675,-3.7941583109891826e-07,0.5258678237515444,-1.5635004994389115e-07,0.18642998454415838,-0.18608306990569298
ACESEJ,7.4643,19.8499,11.910500000000003,90.0,93.32790000000001,90.0,1761.750565485603,1.4841168389525405,7.2213887728950255,19.81470614664621,11.825054450267176,90.0,94.34525306599873,90.0,1687.179848136001,1.5497124880669995,7.332343709088519,19.612331364746098,11.737977666746325,90.00000158016758,93.52197362529235,90.00000018045293,1684.7842487830446,1.5519160285122302,7.325291434152748,19.59329032063337,11.742266010787375,89.99999995203585,93.54235195485327,90.00000035275563,1682.1070815092262,1.5543859894611607,7.317924401657417,19.60188137502444,11.753786564993803,90.00001906325748,93.34946182874599,90.00003342561716,1683.1427784199464,1.553429521128235,7.324509990629668,19.591064763462736,11.773310303335979,90.00000127275982,93.54385362088061,90.00000035085279,1686.1800439681392,1.5506313751159235,-3.254306862063077,-0.17729990253750672,-0.7173968324824848,0.0,1.090084600637879,0.0,-4.232762503984066,4.4198440037076185,1.5364764269437394,-1.0213362762100062,-0.7363753282242522,1.7557417524787727e-06,-0.872624126759685,2.0050325449321664e-07,-0.14198838112031067,0.14219027478956978,1.4388182734007382,-1.117431792196005,-0.7001104293260174,-5.3293499983434835e-08,-0.8510243865515884,3.919507049785251e-07,-0.3006654348307482,0.3015721580711155,1.3368014352686763,-1.0740748313231525,-0.6026854723849769,2.1181397203109656e-05,-1.0554757180588041,3.713957462360263e-05,-0.23927915690285556,0.23985307531927155,1.4279970373801336,-1.1286636376453465,-0.4375806229799484,1.4141775750431407e-06,-0.8494327155575141,3.8983642980383593e-07,-0.059258896967411295,0.05929403395788727
ACESIN,7.21341,11.153014000000002,11.499315,86.4993,75.2773,88.48129999999999,893.0322050959911,1.4639134318735452,6.992931514390396,11.054996114361732,11.381588619535352,86.85655225948265,76.46278696479776,88.98259894739402,854.1318810745531,1.5305854623889896,7.0985292830225974,11.019009838997588,11.225856845831947,87.1662962026325,75.10464490634412,88.36522212370949,847.4152501505822,1.542716914645289,7.073195418162345,11.026540006158376,11.235191598378576,87.1447612935578,75.09016086203214,88.53495303462101,845.6377027938612,1.5459597364408837,7.0674735742950086,11.000948719708498,11.312688321387927,86.65222159750257,75.2275897315885,88.51939725181388,848.9708832368382,1.5398900786223633,7.073745441816397,11.018408058667571,11.252403235206836,86.77264759852196,75.26736926538518,88.53563408888053,846.791635362546,1.5438530395685288,-3.0565084420489623,-0.8788466116717035,-1.0237686372157608,0.4130117347569858,1.5748266274132585,0.5665592022201683,-4.35598221424239,4.554369750547085,1.5100643902331603,-0.3255204704901973,-1.368278005023893,0.35661551730085334,-1.776213125842384,-0.6938174777852095,-0.7863693034758232,0.7926020829548605,1.1477862125029863,-0.25740495888902265,-1.2862617517689972,0.3318218678702921,-1.795155731633948,-0.5030712949142538,-0.9944808839128803,1.0044701475144928,1.0659629620455549,-0.48889564586114603,-0.6053662669652621,-0.23525071703243,-1.6154227203069749,-0.520553120564596,-0.6042389883892492,0.6079122311047357,1.1556516356509279,-0.33096398511283326,-1.1350382503439074,-0.09660141782975017,-1.5633980225739408,-0.5023059157642037,-0.8593808373915997,0.8668302101099737
AFIGED,6.18792,19.92747,6.98462,90.0,91.19900999999999,90.0,861.0820502884136,1.405280006160642,6.0907351573033965,19.403601089381894,6.768141988153849,90.0,92.4615237644716,90.0,799.1358255383493,1.514212415791702,6.118917288584602,19.34407741375705,6.782098688448115,89.99999406131514,91.2814846666224,90.00000394961012,802.5610408802321,1.507749974515272,6.095204933293173,19.665474521426493,6.7653801433424245,89.9999973548309,91.80992330396988,90.00000062246906,810.5283790550833,1.4929290820696663,6.151154839881644,19.275976232483398,6.721181697729574,89.99996273736136,92.30497372980004,90.00006465492687,796.282462948338,1.51963837612813,6.090044484580384,19.6980182099652,6.87073563375107,90.00000163981875,92.39725896248574,90.0000010979628,823.5045272618223,1.4694046588397167,-1.5705575168490145,-2.6288781798096075,-3.099352747123684,0.0,1.3843502955477327,0.0,-7.193997915682463,7.751651567908778,0.4627049207255784,-0.3067661273319938,0.20621169471169032,-6.59853873862125e-06,-1.2762488111867132,4.388455686744743e-06,0.42861491531497103,-0.4267856483696285,0.07338647756530686,1.3496125324278188,-0.04080654360175709,-2.9390767824427003e-06,-0.7047260676360274,6.916322882312265e-07,1.425609158375452,-1.4055712065277042,0.9919932654730275,-0.6577379956977958,-0.6938431626651582,-4.140293182470284e-05,-0.16931370833811446,7.183880763742916e-05,-0.35705602212103565,0.35833548053368713,-0.011339726735363716,1.5173323715896032,1.5158317567330655,1.8220208314940264e-06,-0.06950437259671328,1.2199586605119193e-06,3.049381712684034,-2.959146054059908
AFUHAN,11.53592,30.28154,7.570009999999999,90.0,102.3662,90.0,2583.0437235283503,1.9370122082548629,11.505877887879679,30.368304889973025,7.414368733000315,90.0,101.68179000297404,90.0,2537.02399898466,1.9721481660926004,11.397530120372037,30.137215864847512,7.412896664418953,90.000000765128,103.1063291335438,89.99999789444595,2479.927004271354,2.0175542337789882,11.404057002300085,30.446965337618476,7.459118108923957,90.00000059634793,102.61644627340362,90.00000085797576,2527.410408728893,1.9796496879376466,11.457294886659005,30.182026845834507,7.540720806480469,90.0000297671161,102.40941679872851,89.99998907600565,2546.69253265871,1.9646608935971746,11.424250971535656,30.145015576437913,7.52738608365673,89.99999980163739,102.18678428246406,89.99999974873234,2533.8942317578676,1.9745840865107678,-0.26042233406890664,0.28652733636738936,-2.056024589131109,0.0,-0.668589824596367,0.0,-1.7816084228271931,1.8139254718168747,-0.941673191419626,-0.7609546399206952,-0.01985426722588716,8.501422144036042e-07,1.400977628863624,-2.339504495315244e-06,-2.250550043521739,2.3023659412137643,-0.8849466904811502,0.2590215289606852,0.6035493719710584,6.626088122629881e-07,0.9191973020953383,9.533064036936088e-07,-0.3789317822619954,0.3803731369691642,-0.4222450619943699,-0.6133962524856744,1.7041514662978503,3.307457344842785e-05,0.7155920403576616,-1.2137771502946433e-05,0.38109744637495074,-0.37965060760420793,-0.7094366648025081,-0.7352709159899056,1.5243017271772685,-2.2040290382897686e-07,0.49664180722551216,-2.7918629383647283e-07,-0.12336372174819674,0.12351609580094039
AFUHEQ,11.959913,5.61426,18.161819,90.0,105.05301,90.0,1177.648814948587,1.4383231223170114,11.941056997677169,5.528749598215148,17.684623312387213,90.0,106.14753241160417,90.0,1121.4629321760178,1.5103838672787495,11.767151511908676,5.488005646028064,17.723952291289002,90.00000137812614,105.22137114843818,89.99999933018823,1104.4273666501342,1.5336812285333041,11.789779116727374,5.511599478797495,17.74609294541318,90.0000011433909,105.14727987722385,89.99999999353264,1113.0871832243313,1.5217491909332352,11.81095622724792,5.502669501066157,17.80224144717329,89.99996828426593,105.07907583782558,90.00001177715741,1117.1613604152058,1.5161995218669622,11.771391029416334,5.5055158659488805,17.793731818439994,89.99999937829004,105.31428919180645,90.00000108394711,1112.2215014603387,1.5229336227413164,-0.15766002915599173,-1.5230930128788445,-2.627466376648661,0.0,1.0418762980748235,0.0,-4.771021892041904,5.010052598310079,-1.4563659297692184,-0.7369469617549189,0.22239082058502874,1.5312512699791923e-06,-0.8725226504320936,-7.442352985738884e-07,-1.5190484711633623,1.5424794821550463,-1.2668717767549598,-0.3101988815552299,0.34758802571108105,1.2704343374833925e-06,-0.9423229270198032,-7.18595553432048e-09,-0.7468591882421612,0.7524791478978499,-1.0895247418595997,-0.47171782128477774,0.6650870233899293,-3.5239704519401333e-05,-1.0065769307151462,1.3085730456749741e-05,-0.3835678948804452,0.3850448031261538,-1.420862225964079,-0.4202348443085219,0.6169682221976186,-6.907888424242022e-07,-0.7849859538577758,1.2043856795824265e-06,-0.8240513752645964,0.8308984049980418
